Brand,Saleprice,MRP,Weight,ProductType,Rating,ProductDetails,Description
bb Royal,750,950,2x5 kg,,4,"Foodgrains, Oil & Masala",Organic - Sona Masoori White Rice
,,,,,,,
bb Royal,699,925,10 kg,veg,,"Foodgrains, Oil & Masala",Organic - Sona Masoori Raw Rice
,,,,,,,
24 Mantra,200,200,1 kg,veg,4.2,"Foodgrains, Oil & Masala",Organic Dal - Green Moong (Whole)
,,,,,,,
bb Royal,80,99,1 kg,veg,,"Foodgrains, Oil & Masala",Organic Idli Rava
,,,,,,,
bb Royal,699,799,5 kg,veg,4.1,"Foodgrains, Oil & Masala",Organic - Basmati Rice
,,,,,,,
bb Royal,75,149,100 g,veg,4.2,"Foodgrains, Oil & Masala",Organic Black Pepper/Kali Mirchi
,,,,,,,
bb Royal,74,160,100 g,veg,4.1,"Foodgrains, Oil & Masala",Organic - Black Pepper Powder
,,,,,,,
bb Royal,38,79,50 g,veg,4.2,"Foodgrains, Oil & Masala",Organic Black Pepper/Kali Mirchi
,,,,,,,
Organic Tattva,45,50,100 g,veg,4.3,"Foodgrains, Oil & Masala",Organic - Kalonji
,,,,,,,
bb Royal,73,96,1 kg,veg,4,"Foodgrains, Oil & Masala",Organic - Red Raw Rice
,,,,,,,
Tata Sampann,228,240,1 kg,veg,4.6,"Foodgrains, Oil & Masala",Organic Moong Dal
,,,,,,,
Organic Tattva,225,250,1 kg,veg,3.6,"Foodgrains, Oil & Masala",Organic Basmati Rice - White
,,,,,,,
Organic Tattva,117,130,1 kg,veg,3.7,"Foodgrains, Oil & Masala",Organic - Idli Rice
,,,,,,,
Pro Nature,58,58,500 g,veg,3.9,"Foodgrains, Oil & Masala",Organic - Sooji
,,,,,,,
Organic Tattva,130.5,145,500 g,veg,4,"Foodgrains, Oil & Masala",Groundnuts
,,,,,,,
bb Royal,440,500,5 kg,veg,,"Foodgrains, Oil & Masala",Organic - Rice Surti Kolam
,,,,,,,
bb Royal,105,149,1 kg,veg,4,"Foodgrains, Oil & Masala",Organic - Whole Wheat Multi Grain Atta
,,,,,,,
bb Royal,157,190,1 kg,veg,4.1,"Foodgrains, Oil & Masala",Organic - Urad Dal Black (Split)
,,,,,,,
Tata Sampann,97,97,500 g,veg,4.2,"Foodgrains, Oil & Masala",Organic Masoor Dal
,,,,,,,
Organic Tattva,63,70,500 g,veg,4.2,"Foodgrains, Oil & Masala",Organic Sugar
,,,,,,,
bb Royal,838,998,2x5 kg,,4.2,"Foodgrains, Oil & Masala",Organic - HMT Kolam Rice
,,,,,,,
bb Royal,175,230,1 kg,veg,4,"Foodgrains, Oil & Masala","Organic - Urad Whole (Gota), Unpolished"
,,,,,,,
bb Royal,24,49,200 g,veg,4.2,"Foodgrains, Oil & Masala",Organic - Mustard/Rai Big
,,,,,,,
bb Royal,159,200,1 kg,veg,4.1,"Foodgrains, Oil & Masala",Organic - Mixed Dal
,,,,,,,
bb Royal,219,249,200 g,veg,,"Foodgrains, Oil & Masala",Organic Whole Walnut
,,,,,,,
MeraKisan,54,54,250 g,veg,3.7,"Foodgrains, Oil & Masala",Organic Quinoa
,,,,,,,
MeraKisan,135,135,250 g,veg,3.7,"Foodgrains, Oil & Masala",Organic Turmeric Powder
